N,g(N)
1019000.000000,0.442941
1020000.000000,0.431711
1021000.000000,0.439407
1022000.000000,0.448297
1023000.000000,0.435455
1024000.000000,0.444871
1025000.000000,0.441285
1026000.000000,0.436550
1027000.000000,0.444367
1028000.000000,0.446505
1029000.000000,0.442997
1030000.000000,0.425176
1031000.000000,0.445376
1032000.000000,0.439442
1033000.000000,0.442720
1034000.000000,0.449171
1035000.000000,0.433999
1036000.000000,0.437257
1037000.000000,0.431948
1038000.000000,0.428466
1039000.000000,0.430297
1040000.000000,0.454687
1041000.000000,0.430567
1042000.000000,0.436892
1043000.000000,0.441471
1044000.000000,0.441619
1045000.000000,0.450626
1046000.000000,0.435563
1047000.000000,0.438174
1048000.000000,0.435849
1049000.000000,0.440368
1050000.000000,0.444886
1051000.000000,0.440369
1052000.000000,0.446875
1053000.000000,0.436585
1054000.000000,0.432958
1055000.000000,0.446143
1056000.000000,0.432736
1057000.000000,0.442231
1058000.000000,0.452101
1059000.000000,0.434399
1060000.000000,0.427995
1061000.000000,0.442312
1062000.000000,0.451769
1063000.000000,0.446165
1064000.000000,0.439857
1065000.000000,0.443948
1066000.000000,0.441760
1067000.000000,0.448429
1068000.000000,0.442744
1069000.000000,0.433199
1070000.000000,0.447553
1071000.000000,0.448316
1072000.000000,0.428401
1073000.000000,0.435220
1074000.000000,0.435608
1075000.000000,0.435076
1076000.000000,0.435453
1077000.000000,0.436773
1078000.000000,0.436127
1079000.000000,0.448011
1080000.000000,0.432585
1081000.000000,0.427381
1082000.000000,0.433185
1083000.000000,0.440149
1084000.000000,0.447079
1085000.000000,0.440874
1086000.000000,0.429286
1087000.000000,0.432347
1088000.000000,0.439453
1089000.000000,0.443596
1090000.000000,0.442017
1091000.000000,0.446549
1092000.000000,0.446150
1093000.000000,0.436392
1094000.000000,0.441759
1095000.000000,0.433781
1096000.000000,0.445959
1097000.000000,0.448428
1098000.000000,0.443266
1099000.000000,0.446520
1100000.000000,0.445022
1101000.000000,0.444818
1102000.000000,0.442361
1103000.000000,0.441436
1104000.000000,0.435479
1105000.000000,0.445230
1106000.000000,0.439704
1107000.000000,0.440581
1108000.000000,0.422148
1109000.000000,0.437429
1110000.000000,0.439863
1111000.000000,0.448808
1112000.000000,0.434343
1113000.000000,0.426278
1114000.000000,0.449750
1115000.000000,0.445693
1116000.000000,0.443978
1117000.000000,0.433285
1118000.000000,0.429741
1119000.000000,0.432253
1120000.000000,0.441191
1121000.000000,0.428579
1122000.000000,0.438712
1123000.000000,0.429727
1124000.000000,0.455383
1125000.000000,0.437041
1126000.000000,0.446167
1127000.000000,0.450736
1128000.000000,0.442132
1129000.000000,0.428130
1130000.000000,0.438046
1131000.000000,0.430218
1132000.000000,0.433989
1133000.000000,0.438896
1134000.000000,0.437820
1135000.000000,0.451069
1136000.000000,0.440646
1137000.000000,0.436019
1138000.000000,0.421662
1139000.000000,0.425172
1140000.000000,0.446691
1141000.000000,0.437679
1142000.000000,0.438381
1143000.000000,0.443041
1144000.000000,0.434078
1145000.000000,0.435761
1146000.000000,0.443195
1147000.000000,0.437194
1148000.000000,0.437485
1149000.000000,0.427290
1150000.000000,0.436249
1151000.000000,0.430477
1152000.000000,0.432633
1153000.000000,0.434926
1154000.000000,0.419403
1155000.000000,0.445448
1156000.000000,0.436484
1157000.000000,0.437897
1158000.000000,0.449008
1159000.000000,0.441789
1160000.000000,0.438042
1161000.000000,0.440209
1162000.000000,0.436832
1163000.000000,0.433297
1164000.000000,0.430620
1165000.000000,0.445751
1166000.000000,0.450487
1167000.000000,0.443965
1168000.000000,0.448480
1169000.000000,0.443196
1170000.000000,0.450488
1171000.000000,0.441112
1172000.000000,0.450377
1173000.000000,0.453356
1174000.000000,0.444381
1175000.000000,0.443590
1176000.000000,0.433239
1177000.000000,0.436425
1178000.000000,0.429761
1179000.000000,0.441057
1180000.000000,0.445771
1181000.000000,0.444432
1182000.000000,0.438179
1183000.000000,0.441774
1184000.000000,0.442162
1185000.000000,0.428405
1186000.000000,0.441205
1187000.000000,0.448439
1188000.000000,0.455616
1189000.000000,0.446984
